epoch	train_loss	train_acc	train_grad	valid_loss	valid_acc	test_loss	test_acc	best_epoch	best_valid_acc	best_test_acc
0	1.5928	0.2375	0.2125	1.5731	0.2665	1.5959	0.239	0	0.2665	0.239
1	1.5703	0.2677	0.3206	1.5623	0.2781	1.5932	0.2551	1	0.2781	0.2551
2	1.5504	0.2924	0.3908	1.548	0.3001	1.5941	0.2693	2	0.3001	0.2693
3	1.5404	0.3024	0.4552	1.5307	0.3053	1.5891	0.2691	3	0.3053	0.2691
4	1.5323	0.3113	0.5251	1.5319	0.3063	1.5919	0.2744	4	0.3063	0.2744
5	1.5232	0.3193	0.613	1.5213	0.322	1.5614	0.3013	5	0.322	0.3013
6	1.5003	0.3353	0.7387	1.5014	0.3388	1.517	0.3341	6	0.3388	0.3341
7	1.462	0.3628	0.9547	1.4961	0.3432	1.4873	0.3455	7	0.3432	0.3455
8	1.4544	0.3699	1.177	1.496	0.3485	1.4711	0.361	8	0.3485	0.361
9	1.4397	0.3757	1.1923	1.4645	0.3606	1.4532	0.3672	9	0.3606	0.3672
10	1.4222	0.3898	1.2155	1.4691	0.3619	1.4515	0.3696	10	0.3619	0.3696
11	1.4208	0.3897	1.2603	1.469	0.3622	1.4382	0.3702	11	0.3622	0.3702
12	1.4066	0.4024	1.303	1.4451	0.3752	1.433	0.3807	12	0.3752	0.3807
13	1.4034	0.4017	1.3552	1.4531	0.3723	1.4323	0.3766	12	0.3752	0.3807
14	1.3936	0.4092	1.4493	1.4728	0.3641	1.4226	0.3845	12	0.3752	0.3807
15	1.3918	0.4054	1.2248	1.444	0.3814	1.4399	0.3752	15	0.3814	0.3752
16	1.3753	0.4186	1.3471	1.4389	0.3787	1.3905	0.3984	15	0.3814	0.3752
17	1.3631	0.4264	1.5026	1.4721	0.3706	1.4288	0.381	15	0.3814	0.3752
18	1.3597	0.4276	1.5328	1.435	0.3862	1.4041	0.3952	18	0.3862	0.3952
19	1.3538	0.428	1.563	1.4537	0.3786	1.4211	0.3928	18	0.3862	0.3952
20	1.3482	0.4331	1.5658	1.4248	0.3926	1.395	0.4014	20	0.3926	0.4014
21	1.3338	0.4416	1.5826	1.4318	0.3897	1.3779	0.4096	20	0.3926	0.4014
22	1.3273	0.4458	1.647	1.408	0.4036	1.3753	0.4121	22	0.4036	0.4121
23	1.3243	0.4477	1.7017	1.3915	0.4103	1.3608	0.4241	23	0.4103	0.4241
24	1.3248	0.4431	1.7197	1.4015	0.406	1.3757	0.4117	23	0.4103	0.4241
25	1.3065	0.4559	1.7211	1.3937	0.4091	1.3533	0.4213	23	0.4103	0.4241
26	1.3037	0.4567	1.6666	1.4045	0.4038	1.3663	0.4184	23	0.4103	0.4241
27	1.2916	0.4626	1.6397	1.4072	0.407	1.3474	0.4249	23	0.4103	0.4241
28	1.2982	0.4601	1.7756	1.3959	0.4103	1.3466	0.4321	23	0.4103	0.4241
29	1.2994	0.4613	1.7085	1.3878	0.4137	1.3324	0.4311	29	0.4137	0.4311
30	1.2743	0.4726	1.8182	1.4093	0.4062	1.3439	0.43	29	0.4137	0.4311
31	1.2892	0.4663	1.7585	1.4019	0.4082	1.3506	0.4239	29	0.4137	0.4311
32	1.271	0.4736	1.7451	1.3756	0.4192	1.3326	0.4326	32	0.4192	0.4326
33	1.2815	0.4691	1.7531	1.3673	0.4233	1.3115	0.4434	33	0.4233	0.4434
34	1.2652	0.4753	1.7002	1.3834	0.4173	1.3375	0.4353	33	0.4233	0.4434
35	1.2652	0.4746	1.7499	1.3711	0.4215	1.3024	0.4489	33	0.4233	0.4434
36	1.2598	0.4767	1.8124	1.3589	0.4275	1.3339	0.434	36	0.4275	0.434
37	1.2556	0.4794	1.7681	1.388	0.4179	1.3369	0.4283	36	0.4275	0.434
38	1.2517	0.483	1.7365	1.3834	0.4176	1.3304	0.4358	36	0.4275	0.434
39	1.2412	0.4896	1.7108	1.37	0.4264	1.3279	0.4381	36	0.4275	0.434
40	1.2412	0.4891	1.7584	1.3474	0.4362	1.314	0.4454	40	0.4362	0.4454
41	1.2321	0.4925	1.7941	1.3699	0.4287	1.312	0.4472	40	0.4362	0.4454
42	1.239	0.4903	1.8335	1.3609	0.4273	1.3106	0.4455	40	0.4362	0.4454
43	1.2323	0.4913	1.7674	1.379	0.4229	1.3223	0.4437	40	0.4362	0.4454
44	1.23	0.4952	1.7274	1.4059	0.4174	1.3424	0.4385	40	0.4362	0.4454
45	1.2353	0.4957	1.8052	1.3496	0.4341	1.3148	0.4455	40	0.4362	0.4454
46	1.2159	0.5014	1.7474	1.3362	0.4358	1.3004	0.4534	40	0.4362	0.4454
47	1.2085	0.5037	1.7432	1.3553	0.4325	1.3269	0.4425	40	0.4362	0.4454
48	1.2092	0.5025	1.8482	1.3527	0.4369	1.3125	0.4497	48	0.4369	0.4497
49	1.2095	0.5025	1.8489	1.3563	0.4298	1.3331	0.4398	48	0.4369	0.4497
50	1.2118	0.5034	1.8424	1.3538	0.4278	1.3304	0.4381	48	0.4369	0.4497
51	1.2001	0.5087	1.7904	1.3291	0.4469	1.3044	0.4523	51	0.4469	0.4523
52	1.1971	0.5118	1.8231	1.3479	0.4381	1.3348	0.4383	51	0.4469	0.4523
53	1.2148	0.5024	1.8183	1.3305	0.4439	1.3218	0.4482	51	0.4469	0.4523
54	1.1992	0.509	1.829	1.3408	0.4399	1.3204	0.4515	51	0.4469	0.4523
55	1.1938	0.513	1.8192	1.3307	0.442	1.2705	0.4678	51	0.4469	0.4523
56	1.1973	0.5105	1.8127	1.343	0.4419	1.3337	0.4418	51	0.4469	0.4523
57	1.1782	0.5219	1.8297	1.3459	0.4338	1.2969	0.4555	51	0.4469	0.4523
58	1.1823	0.5165	1.8124	1.3467	0.4426	1.2901	0.4622	51	0.4469	0.4523
59	1.189	0.5175	1.8295	1.3396	0.4421	1.295	0.4586	51	0.4469	0.4523
60	1.182	0.5202	1.796	1.3561	0.4348	1.2955	0.4528	51	0.4469	0.4523
61	1.1801	0.516	1.8141	1.3501	0.4377	1.2837	0.4602	51	0.4469	0.4523
62	1.174	0.5237	1.7763	1.3332	0.4441	1.3193	0.4466	51	0.4469	0.4523
63	1.1741	0.5193	1.8326	1.3589	0.4334	1.3165	0.4498	51	0.4469	0.4523
64	1.1775	0.5212	1.7047	1.3065	0.4581	1.2721	0.4668	64	0.4581	0.4668
65	1.1736	0.5217	1.8498	1.3192	0.4493	1.2749	0.4638	64	0.4581	0.4668
66	1.1673	0.5246	1.7234	1.3083	0.4517	1.2969	0.4563	64	0.4581	0.4668
67	1.1629	0.5272	1.7373	1.3067	0.457	1.2973	0.4598	64	0.4581	0.4668
68	1.1753	0.5222	1.784	1.316	0.4555	1.2728	0.4665	64	0.4581	0.4668
69	1.165	0.5246	1.8109	1.3	0.4598	1.3054	0.4549	69	0.4598	0.4549
70	1.1551	0.5294	1.7007	1.3204	0.4477	1.2814	0.463	69	0.4598	0.4549
71	1.1494	0.5344	1.8241	1.337	0.4521	1.2773	0.4685	69	0.4598	0.4549
72	1.1572	0.5281	1.7212	1.3241	0.4539	1.2876	0.4695	69	0.4598	0.4549
73	1.1359	0.5395	1.8847	1.3198	0.4515	1.2943	0.4619	69	0.4598	0.4549
74	1.1379	0.5432	1.8562	1.3153	0.4588	1.3006	0.4603	69	0.4598	0.4549
75	1.1329	0.5414	1.8068	1.3188	0.4537	1.2974	0.4601	69	0.4598	0.4549
76	1.135	0.5393	1.9132	1.3122	0.4562	1.2788	0.4649	69	0.4598	0.4549
77	1.1309	0.5441	1.7775	1.3004	0.4632	1.2701	0.4735	77	0.4632	0.4735
78	1.1453	0.5343	1.898	1.314	0.4532	1.263	0.4748	77	0.4632	0.4735
79	1.1343	0.5395	1.861	1.3243	0.4525	1.3124	0.4565	77	0.4632	0.4735
80	1.1396	0.5384	1.763	1.3031	0.4617	1.2938	0.4606	77	0.4632	0.4735
81	1.1385	0.5401	1.8529	1.2967	0.4646	1.2594	0.4747	81	0.4646	0.4747
82	1.1287	0.5427	1.8999	1.3116	0.4586	1.2821	0.4693	81	0.4646	0.4747
83	1.1232	0.5469	1.7849	1.2922	0.4685	1.2963	0.4617	83	0.4685	0.4617
84	1.137	0.5403	1.8623	1.2936	0.4655	1.2629	0.4755	83	0.4685	0.4617
85	1.1202	0.5459	1.8094	1.2806	0.4682	1.2653	0.4723	83	0.4685	0.4617
86	1.1117	0.5496	1.8732	1.2928	0.461	1.2701	0.4686	83	0.4685	0.4617
87	1.1323	0.541	1.8771	1.298	0.4629	1.272	0.4694	83	0.4685	0.4617
