epoch	train_loss	train_acc	train_grad	valid_loss	valid_acc	test_loss	test_acc	best_epoch	best_valid_acc	best_test_acc
0	0.0	0.0	0.1254	2.1913	0.3035	2.1845	0.3017	0	0.3035	0.3017
0	0.0	0.0	0.0946	1.6167	0.2833	1.6013	0.2927	0	0.2833	0.2927
1	0.0	0.0	0.0977	1.6164	0.2918	1.6061	0.2941	1	0.2918	0.2941
0	0.0	0.0	0.0939	1.6195	0.2837	1.6005	0.2912	0	0.2837	0.2912
1	0.0	0.0	0.0944	1.6189	0.2845	1.6026	0.2919	1	0.2845	0.2919
2	0.0	0.0	0.0961	1.617	0.2878	1.6071	0.2947	2	0.2878	0.2947
3	0.0	0.0	0.0979	1.6276	0.2896	1.6107	0.2989	3	0.2896	0.2989
4	0.0	0.0	0.099	1.6342	0.2892	1.6189	0.3004	3	0.2896	0.2989
5	0.0	0.0	0.1004	1.6322	0.296	1.6278	0.3022	5	0.296	0.3022
6	0.0	0.0	0.1023	1.6479	0.2967	1.639	0.3061	6	0.2967	0.3061
7	0.0	0.0	0.1037	1.6598	0.3016	1.6533	0.3056	7	0.3016	0.3056
8	0.0	0.0	0.1052	1.6805	0.2961	1.6751	0.3033	7	0.3016	0.3056
9	0.0	0.0	0.1077	1.689	0.3018	1.6891	0.3062	9	0.3018	0.3062
10	0.0	0.0	0.109	1.7105	0.3004	1.7089	0.3086	9	0.3018	0.3062
11	0.0	0.0	0.1108	1.7275	0.3022	1.7273	0.309	11	0.3022	0.309
12	0.0	0.0	0.1112	1.7454	0.302	1.7471	0.3087	11	0.3022	0.309
13	0.0	0.0	0.113	1.7611	0.3021	1.779	0.3074	11	0.3022	0.309
14	0.0	0.0	0.114	1.7878	0.3004	1.7928	0.3095	11	0.3022	0.309
15	0.0	0.0	0.116	1.8167	0.2984	1.8284	0.3074	11	0.3022	0.309
16	0.0	0.0	0.1168	1.8275	0.3022	1.8414	0.3068	11	0.3022	0.309
17	0.0	0.0	0.1172	1.8346	0.3032	1.8616	0.311	17	0.3032	0.311
18	0.0	0.0	0.118	1.8724	0.2999	1.8837	0.3104	17	0.3032	0.311
19	0.0	0.0	0.1189	1.8825	0.3032	1.8987	0.3103	17	0.3032	0.311
20	0.0	0.0	0.1192	1.8843	0.3052	1.9119	0.3114	20	0.3052	0.3114
21	0.0	0.0	0.1206	1.9191	0.3049	1.9304	0.3128	20	0.3052	0.3114
22	0.0	0.0	0.1223	1.93	0.3044	1.9535	0.3107	20	0.3052	0.3114
23	0.0	0.0	0.1231	1.9575	0.3004	1.968	0.3113	20	0.3052	0.3114
24	0.0	0.0	0.1231	1.9712	0.3021	1.9885	0.3109	20	0.3052	0.3114
25	0.0	0.0	0.1248	1.9837	0.3038	2.0072	0.3096	20	0.3052	0.3114
26	0.0	0.0	0.1251	1.9797	0.305	2.0281	0.3102	20	0.3052	0.3114
27	0.0	0.0	0.1256	1.9924	0.3064	2.0404	0.3088	27	0.3064	0.3088
28	0.0	0.0	0.1259	2.0204	0.3033	2.0346	0.3119	27	0.3064	0.3088
29	0.0	0.0	0.1262	2.0332	0.2976	2.0439	0.3139	27	0.3064	0.3088
30	0.0	0.0	0.1257	2.0429	0.3008	2.0613	0.3113	27	0.3064	0.3088
31	0.0	0.0	0.1247	2.064	0.3024	2.0726	0.3135	27	0.3064	0.3088
32	0.0	0.0	0.1261	2.0804	0.3029	2.0846	0.3153	27	0.3064	0.3088
33	0.0	0.0	0.1273	2.0824	0.3057	2.1211	0.3098	27	0.3064	0.3088
34	0.0	0.0	0.1262	2.0721	0.3085	2.1126	0.3138	34	0.3085	0.3138
35	0.0	0.0	0.1266	2.0903	0.307	2.1226	0.312	34	0.3085	0.3138
36	0.0	0.0	0.1276	2.1194	0.3047	2.1437	0.312	34	0.3085	0.3138
37	0.0	0.0	0.1272	2.1289	0.3002	2.1524	0.309	34	0.3085	0.3138
38	0.0	0.0	0.1271	2.115	0.3059	2.1602	0.31	34	0.3085	0.3138
39	0.0	0.0	0.1266	2.1297	0.3044	2.1668	0.3085	34	0.3085	0.3138
40	0.0	0.0	0.126	2.1533	0.3012	2.1706	0.3121	34	0.3085	0.3138
41	0.0	0.0	0.1265	2.1588	0.3038	2.191	0.3117	34	0.3085	0.3138
42	0.0	0.0	0.1271	2.1485	0.3055	2.1975	0.3108	34	0.3085	0.3138
43	0.0	0.0	0.1273	2.1534	0.3047	2.1791	0.3163	34	0.3085	0.3138
44	0.0	0.0	0.1276	2.1632	0.3051	2.1948	0.3144	34	0.3085	0.3138
45	0.0	0.0	0.1268	2.1701	0.3056	2.1972	0.3128	34	0.3085	0.3138
46	0.0	0.0	0.1263	2.175	0.3057	2.2198	0.3098	34	0.3085	0.3138
47	0.0	0.0	0.1278	2.1861	0.3041	2.2251	0.3107	34	0.3085	0.3138
48	0.0	0.0	0.126	2.1845	0.3051	2.2581	0.3104	34	0.3085	0.3138
49	0.0	0.0	0.1258	2.1785	0.3049	2.2601	0.3085	34	0.3085	0.3138
50	0.0	0.0	0.1268	2.2059	0.3053	2.2483	0.3105	34	0.3085	0.3138
